Source,Target,Type,Id,Label,timeset,Weight,attr_type,matchings_count
grantnumber_c09823961870565d6322563133bb3884,entityid_1621c9ce4dcca838509b68224e0d0cc2,Undirected,23064,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_a03d8b302478fe17a39ccbbaa62fd409,Undirected,23065,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_4423a61d3686821a776de0e65a090bf0,Undirected,23066,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_9667a1e99e5c9957d2791fda77f4e519,Undirected,23067,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_5df01781cd26ea8323aeb40e16568e77,Undirected,23068,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_a7714d019f8ce2b10c5e0455b056fef3,Undirected,23069,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_588ebb0bfad38de179655558b8d7aef6,Undirected,23070,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_21781318e31cb0bed104215a37cf99bd,Undirected,23071,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_e8e90df86f0bd77222a77a40f599f62e,Undirected,23072,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_72f866e5730dfbe8266e61043021bb14,Undirected,23073,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_8db5847fb0588202c9e89a9a0080c598,Undirected,23074,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_2240f109150ad28dd3a6622486a5c0db,Undirected,23075,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_44ac390adf1b0947b652e3fbe42bad78,Undirected,23076,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_698d5147f5af64b61456be35972b0562,Undirected,23077,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_328ea4a8d632457d7578928c4a040af0,Undirected,23078,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_4e94f57ea7be7503617e155675f21c53,Undirected,23079,,,1,,1
grantnumber_c09823961870565d6322563133bb3884,entityid_5d24b70225f5a5d25ab9c86e5daa81b6,Undirected,23080,,,1,,1
