date,time,desc,boro,lat,lon
08/09/2016,01:08:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.869301715,-73.889511247
08/08/2016,23:43:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.805182009,-73.9186305
08/07/2016,09:15:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.660436625,-73.939773355
08/07/2016,01:30:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.674063439,-73.912535702
08/04/2016,20:21:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.668403866999995,-73.869286157
08/04/2016,19:50:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.623960368,-73.938282477
08/04/2016,01:46:00,MURDER & NON-NEGL. MANSLAUGHTER,STATEN ISLAND,40.64173826,-74.075678037
08/03/2016,22:18:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.649091471999995,-73.95577682300001
07/22/2016,12:00:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.750294976,-73.822805246
08/03/2016,02:05:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.836843178,-73.850809958
08/02/2016,23:39:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.65381516,-73.853205037
08/02/2016,17:40:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.842328579000004,-73.885739479
08/02/2016,01:08:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.68469984,-73.92474482600001
08/01/2016,19:15:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.736984449,-73.809998125
07/30/2016,07:20:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.738838819,-73.926700862
07/30/2016,01:20:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.681803475,-73.923789039
07/27/2016,23:40:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.764463103000004,-73.831774379
07/15/2016,04:03:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.67013835,-73.90892519399999
07/15/2016,04:03:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.67013835,-73.90892519399999
07/25/2016,21:37:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.692389705,-73.793764553
07/25/2016,05:05:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.845984791,-73.907462791
07/25/2016,05:05:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.845984791,-73.907462791
07/25/2016,02:44:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.870142434,-73.86930540899999
07/23/2016,01:45:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.831578538,-73.927697229
07/22/2016,19:19:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.618091468,-74.02785231600001
07/21/2016,06:00:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.839739531,-73.913178032
07/21/2016,00:02:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.695140908,-73.975125947
07/20/2016,01:25:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.689111202,-73.945058895
07/19/2016,23:53:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.819856355,-73.920140835
07/19/2016,20:17:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.67500776,-74.006577149
07/18/2016,12:12:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.672789843000004,-73.773651622
07/17/2016,04:11:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.764694063,-73.914348014
07/17/2016,02:17:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.651998977,-73.94486962100001
07/16/2016,02:17:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.815720251,-73.864502585
07/15/2016,00:14:00,MURDER & NON-NEGL. MANSLAUGHTER,QUEENS,40.682140409,-73.826891092
07/10/2016,00:40:00,MURDER & NON-NEGL. MANSLAUGHTER,BROOKLYN,40.680536156,-73.957086365
07/09/2016,02:11:00,MURDER & NON-NEGL. MANSLAUGHTER,BRONX,40.88443116,-73.833004197
07/05/2016,02:05:00,MURDER & NON-NEGL. MANSLAUGHTER,MANHATTAN,40.801063787,-73.950481913
